parent_key_name,key_to,key_from,default_value,fields_for_computation,to_compute,type
identification.id1,type,identity_consent/Do_you_have_a_person_ty_document_with_you,,,,string
identification.id1,identifier,identity_consent/What_is_the_personal_ID_number,,,,string
user-cam,id,identity_consent/What_is_the_name_of_resident_is_assigned,,,,string
user-cam,owner,identity_consent/What_is_the_name_of_resident_is_assigned,,,,string
address,province,identity_consent/What_is_this_town,,,,string
address,country,identity_consent/What_is_this_country,,,,string
,organization,identity_consent/What_AWH_organisatio_his_registered_under,,identity_consent/What_AWH_organisatio_his_registered_under,TRUE,string
profiles.employment,currency,personal_info/What_currency_are_you_paid_in,,,,string
profiles,where_income_from,personal_info/Where_does_your_income_come_from,,,,string
profiles.employment,monthly_income,personal_info/What_is_your_househo_income_approximately,,,,integer
address,lot_or_house_number,personal_info/What_is_Line_1_of_your_address,,,,string
,birthdate,personal_info/What_is_your_date_of_birth,,,,string
address,postal_code,personal_info/What_is_your_Post_Zip_Code,,,,string
,last_name,personal_info/What_is_your_Family_Name,,,,string
profiles.employment,nature,personal_info/What_is_the_nature_of_your_work,,,,string
,gender,personal_info/What_is_your_gender,,,,string
profiles,are_you_currently_earning,personal_info/Are_you_currently_earning,,,,boolean
,first_name,personal_info/What_is_your_First_Name,,,,string
profiles,civil_status,personal_info/Civil_Status,,,,string
households,sanitary_type,household/What_type_of_sanitation_do_you_have,,,,array
households,how_ensure_water_safe,household/How_do_you_ensure_yo_ter_is_safe_to_drink,,,,array
households,type_of_house,household/What_best_describes_house_do_you_live_in,,,,string
households,amenities_present_in_house,household/What_are_the_ameniti_resent_in_your_house,,,,array
households,water_sources,household/What_water_sources_d_ehold_have_access_to,,,,array
households,what_u_se_to_wash_hands,household/What_do_you_mostly_u_e_to_wash_your_hands,,,,string
households,sanitary_ownership,household/Is_your_sanitation_owned_or_shared,,,,string
households,no_of_people_in_the_household,household/How_many_people_are_ing_in_the_household,,,,integer
health_informations.blood_pressure.second_reading,diastole,health_information/Blood_Pressure_2nd_Reading_Diastolic,,,,integer
health_informations,do_u_have_disability,health_information/Do_you_consider_yourself_to_ha,,,,string
health_informations,weight,health_information/What_is_your_weight_in_kg,,,,integer
health_informations,taking_long_term_medication,health_information/Do_you_take_or_need_to_take_th,,,,string
health_informations,vegetables_in_a_week,health_information/How_many_75g_vegetables_servin,,,,string
health_informations,do_u_have_health_insurance_plan,health_information/Do_you_currently_hav_ealth_insurance_plan,,,,string
health_informations,why_take_or_not_prescribed_dose,health_information/Regarding_your_long_the_prescribed_dose,,,,string
health_informations,smoking_habit,health_information/Do_you_directly_smoke_cigarett,,,,string
health_informations.blood_pressure.first_reading,systole,health_information/Blood_Pressure_1st_Reading_Systolic,,,,integer
health_informations,exercise_in_a_week,health_information/Added_together_how_rate_within_a_week,,,,string
health_informations,how_travel_for_long_term_meds,health_information/How_do_or_would_you_long_term_medicines,,,,string
health_informations,times_exposed_to_smoke,health_information/How_many_times_do_yo_in_a_day_on_average,,,,integer
health_informations.blood_pressure.first_reading,diastole,health_information/Blood_Pressure_1st_Reading_Diastolic,,,,integer
health_informations,alcohol_in_a_week,health_information/How_many_units_of_al_ll_measure_of_spirit,,,,string
health_informations,waist_circumference,health_information/What_is_your_waist_circumference_in_cm,,,,integer
health_informations,traditional_medicine,health_information/What_phrase_best_des_raditional_medicines,,,,string
health_informations,family_history,health_information/Does_your_family_hav_any_of_the_following,,,,array
health_informations,fruits_in_a_week,health_information/How_many_75g_fruits_serving,,,,string
health_informations.blood_pressure.second_reading,systole,health_information/Blood_Pressure_2nd_Reading_Systolic,,,,integer
health_informations,height,health_information/What_is_you_height_in_cm,,,,integer
health_informations,diagnosed,health_information/Have_you_ever_been_d_any_of_the_following,,,,array
dental_health,what_problems,dental_health/If_yes_what_problems,,,,string
dental_health,times_clean_teeth_daily,dental_health/How_many_times_do_yo_ean_your_teeth_daily,,,,string
dental_health,what_do_u_use_to_clean_teeth,dental_health/What_do_you_use_to_clean_your_teeth,,,,string
dental_health,family_members_d_problems_last_6_months,dental_health/Have_any_members_of_your_famil,,,,string
dental_health,do_you_own_toothbrush,dental_health/Do_you_own_a_toothbrush,,,,string
disability,do_you_have_types_disability,disability/Do_you_consider_your_types_of_disability,,,,string
family_planning_and_maternal_healths.is_pregnant,how_many_months_are_you_pregnant,pregnancy/How_many_months_are_you_pregnant,,,,string
