parent_key_name,key_to,key_from,default_value,fields_for_computation,to_compute,type
identification.id1,type,identity_consent/identity_document,,,,string
identification.id1,identifier,identity_consent/personal_id_no,,,,string
,,identity_consent/questions_to_be_asked,,,,string
user-cam,id,identity_consent/cam_account,,,,string
user-cam,owner,identity_consent/cam_account,,,,string
address,province,identity_consent/town,,,,string
address,country,identity_consent/country,,,,string
,,identity_consent/region,,,,string
,organization,identity_consent/organization,,,,string
profiles.employment,currency,personal_info/currency,,,,string
profiles,where_income_from,personal_info/source_of_income,,,,string
profiles.employment,monthly_income,personal_info/household_monthly_income,,,,integer
address,lot_or_house_number,personal_info/address_line_1,,,,string
,birthdate,personal_info/date_of_birth,,,,string
address,postal_code,personal_info/postal_code,,,,string
,last_name,personal_info/last_name,,,,string
,,personal_info/type_of_registration,,,,string
profiles.employment,nature,personal_info/work_nature,,,,string
,gender,personal_info/gender,,,,string
profiles,are_you_currently_earning,personal_info/is_earning_currently,,,,boolean
,first_name,personal_info/first_name,,,,string
profiles,civil_status,personal_info/civil_status,,,,string
households,sanitary_type,household/type_of_sanitation,,,,array
households,how_ensure_water_safe,household/ensuring_water_is_safe,,,,array
households,type_of_house,household/house_construction,,,,string
households,amenities_present_in_house,household/amenities,,,,array
households,water_sources,household/water_sources,,,,array
households,what_u_se_to_wash_hands,household/mostly_used_to_wash_hands,,,,string
households,sanitary_ownership,household/sanitation_ownership,,,,string
households,no_of_people_in_the_household,household/no_of_people_household,,,,integer
health_informations.blood_pressure.second_reading,diastole,health_information/blood_pressure_2nd_diastole,,,,integer
health_informations,do_u_have_disability,health_information/considering_self_with_disabili,,,,string
health_informations,weight,health_information/weight,,,,integer
health_informations,taking_long_term_medication,health_information/taking_long_term_meds,,,,string
health_informations,vegetables_in_a_week,health_information/vegetable_within_week,,,,string
health_informations,do_u_have_health_insurance_plan,health_information/has_health_insurance_plan,,,,string
health_informations,why_take_or_not_prescribed_dose,health_information/how_taking_prescribed_dose,,,,string
health_informations,smoking_habit,health_information/smoking_habit,,,,string
health_informations.blood_pressure.first_reading,systole,health_information/blood_pressure_1st_systole,,,,integer
health_informations,exercise_in_a_week,health_information/exercise_within_week,,,,string
health_informations,how_travel_for_long_term_meds,health_information/travel_for_medicine,,,,string
health_informations,times_exposed_to_smoke,health_information/times_exposed_to_t_smoke,,,,integer
health_informations.blood_pressure.first_reading,diastole,health_information/blood_pressure_1st_diastole,,,,integer
health_informations,alcohol_in_a_week,health_information/alcohol_within_week,,,,string
health_informations,waist_circumference,health_information/waist_circumference,,,,integer
health_informations,traditional_medicine,health_information/traditional_medicine,,,,string
health_informations,family_history,health_information/family_history,,,,array
health_informations,fruits_in_a_week,health_information/fruits_within_week,,,,string
health_informations.blood_pressure.second_reading,systole,health_information/blood_pressure_2nd_systole,,,,integer
health_informations,height,health_information/height,,,,integer
health_informations,diagnosed,health_information/diagnosed,,,,array
dental_health,what_problems,dental_health/family_dental_problems,,,,string
dental_health,times_clean_teeth_daily,dental_health/times_brush_teeth_daily,,,,string
dental_health,what_do_u_use_to_clean_teeth,dental_health/used_for_cleaning_teeth,,,,string
dental_health,family_members_d_problems_last_6_months,dental_health/last_6_months_dental_fam_probl,,,,string
dental_health,do_you_own_toothbrush,dental_health/owning_toothbrush,,,,string
disability,do_you_have_types_disability,disability/types_of_disability,,,,string
family_planning_and_maternal_healths.is_pregnant,how_many_months_are_you_pregnant,pregnancy/months_pregnant,,,,string
family_planning_and_maternal_healths.is_pregnant,where_do_you_plan_to_deliver_baby,pregnancy/where_to_deliver_baby,,,,string
family_planning_and_maternal_healths,is_pregnant_or_have_children,pregnancy/is_pregnant_or_have_children,,,,string
family_planning_and_maternal_healths,ANC_visits,pregnancy/ANC_visits,,,,string
family_planning_and_maternal_healths,how_many_children_do_you_have,pregnancy/female_no_of_children,,,,string
family_planning_and_maternal_healths.is_pregnant,are_you_taking_ferrous_sulfate_with_folic_acid,pregnancy/Are_you_taking_ferro_hate_with_folic_acid,,,,string
family_planning_and_maternal_healths.is_pregnant,is_this_your_first_pregnancy,pregnancy/is_first_pregnancy,,,,string
family_planning_and_maternal_healths.is_pregnant,were_you_vaccinated_with_tetanus_toxoid,pregnancy/vaccinated_tetanus_toxoid,,,,string
family_planning_and_maternal_healths,place_receive_ANC,pregnancy/place_receive_ANC,,,,string
family_planning_and_maternal_healths,why_not_deliver_in_health_center,pregnancy/why_not_delivr_health_centr,,,,string
child_healths.newborn,how_soon_colostrum_br_milk_after_delivery,new_born/how_soon_provided_colostrum,,,,string
child_healths.newborn,place_receive_ANC,new_born/place_receive_ANC_001,,,,string
child_healths.newborn,where_was_baby_delivered,new_born/where_baby_delivered,,,,string
child_healths.newborn,ANC_visits,new_born/ANC_visits_001,,,,string
child_healths.newborn,why_not_deliver_in_health_center,new_born/why_not_delivr_health_centr_001,,,,string
child_healths.newborn,provided_first_breast_milk,new_born/did_u_provide_1st_breastfeed,,,,string
child_healths.infant,kind_of_solid_food,infant/What_kind_of_solid_f_providing_your_baby,,,,string
child_healths.infant,why_not_deliver_in_health_center,infant/why_not_delivr_health_centr_002,,,,string
child_healths.infant,exclusive_breast_feeding,infant/exclusive_breastfeeding,,,,string
child_healths.infant,eating_solid_food,infant/is_eating_solid_food,,,,string
child_healths.infant,place_receive_ANC,infant/place_receive_ANC_002,,,,string
child_healths.infant,where_was_baby_delivered,infant/where_baby_delivered_001,,,,string
child_healths.infant,how_soon_colostrum_br_milk_after_delivery,infant/how_soon_provided_colostrum_001,,,,string
child_healths.infant,provided_first_breast_milk,infant/did_u_provide_1st_breastfeed_001,,,,string
child_healths.infant,months_of_exclusive_breast_feeding,infant/months_of_exclusive_breastfeed,,,,string
child_healths.infant,following_received,infant/following_received_last_6_mont,,,,string
child_healths.infant,ANC_visits,infant/ANC_visits_002,,,,string
child_healths.child,if_yes_what_treatment,child_1_5/has_malnutrition_treatmnt,,,,string
child_healths.child,following_received,child_1_5/following_received_last_6_mont_001,,,,string
child_healths.child,times_struggled_to_provide_food_for_child,child_1_5/frequency_providing_n_food_chi,,,,string
child_healths.child,treatment_for_malnutrition,child_1_5/malnutrition_treatment,,,,string
,cb_id,_uuid,,,,string
,kobo_id,_uuid,,,,
,registered_at,_submission_time,,,,date
address,barangay,,,,,string
contact_number,country_code,,,,,string
contact_number,number,,,,,string
,date_visits,,date_now,,,array
,email_address,,,,,string
health_informations,allergies,,,,,string
health_informations,blood_sign,,,,,string
health_informations,blood_sugar,,,,,string
health_informations,blood_type,,,,,string
health_informations,high_cost_medicine,,,,,string
health_informations,maintenance_drugs,,,,,string
health_informations,medical_equipments,,,,,string
health_informations,date_updated,,,,,date
households,date_updated,,,,,date
households,house_ownership,,,,,string
households,neighborhood_description,,,,,string
households,no_of_families_in_the_household,,,,,integer
identification.id2,identifier,,,,,string
identification.id2,type,,,,,string
identification.id3,identifier,,,,,string
identification.id3,type,,,,,string
,last_name_suffix,,,,,string
,middle_name,,,,,string
profile_picture,name,,,,,string
profile_picture,path,,,,,string
profiles,date_updated,,,,,date
profiles,education,,,,,string
profiles.employment,is_employed,,,,,boolean
profiles,religion,,,,,string
symptoms_collection.abdomen,abdomen,,,,,array
symptoms_collection.arms,elbow,,,,,array
symptoms_collection.arms,fingers,,,,,array
symptoms_collection.arms,hand_and_palm,,,,,array
symptoms_collection.arms,lower_arm,,,,,array
symptoms_collection.arms,upper_arm,,,,,array
symptoms_collection.arms,wrist,,,,,array
symptoms_collection.chest,chest,,,,,array
symptoms_collection.chest,lungs_and_breathing,,,,,array
symptoms_collection,date_updated,,,,,date
symptoms_collection.head,chin_and_jaw,,,,,array
symptoms_collection.head,ears,,,,,array
symptoms_collection.head,eyes,,,,,array
symptoms_collection.head,head,,,,,array
symptoms_collection.head,mouth,,,,,array
symptoms_collection.head,nose,,,,,array
symptoms_collection.legs,foot,,,,,array
symptoms_collection.legs,knee,,,,,array
symptoms_collection.legs,shin,,,,,array
symptoms_collection.legs,thigh,,,,,array
symptoms_collection.legs,toes,,,,,array
symptoms_collection.neck,lowerback,,,,,array
symptoms_collection.neck,neck,,,,,array
symptoms_collection.neck,shoulders,,,,,array
symptoms_collection.neck,throat,,,,,array
symptoms_collection.neck,upperback,,,,,array
symptoms_collection.pelvis,genitals,,,,,array
symptoms_collection.pelvis,hip,,,,,array
symptoms_collection.pelvis,pelvis,,,,,array
symptoms_collection.skin,skin,,,,,array
child_healths.newborn,provided_with_the_following,,,,,array
child_healths.newborn,experience_any,,,,,array
child_healths.infant,mid_upper_arm_circumference,,,,,array
child_healths.infant,following_experience,,,,,array
child_healths.child,mid_upper_arm_circumference,,,,,array
child_healths.child,exclusive_breast_feeding,,,,,boolean
child_healths.child,eating_solid_food,,,,,boolean
