parent_key_name,key_to,key_from,default_value,fields_for_computation,to_compute,type
,awh_id,cb_id,,,,string
,org,organization,,,,string
,are_you_pregnant,family_planning_and_maternal_healths.are_you_pregnant,,,,boolean
,is_pregnant_or_have_children,family_planning_and_maternal_healths.is_pregnant_or_have_children,,,,string
,ANC_visits,family_planning_and_maternal_healths.ANC_visits,,,,integer
,place_receive_ANC,family_planning_and_maternal_healths.place_receive_ANC,,,,string
,no_ANC_why_not,family_planning_and_maternal_healths.no_ANC_why_not,,,,string
,how_many_children_do_you_have,family_planning_and_maternal_healths.how_many_children_do_you_have,,,,integer
,why_not_deliver_in_health_center,family_planning_and_maternal_healths.why_not_deliver_in_health_center,,,,string
is_pregnant,how_many_months_are_you_pregnant,family_planning_and_maternal_healths.is_pregnant.how_many_months_are_you_pregnant,,,,string
is_pregnant,how_many_parental_visit_did_you_have,family_planning_and_maternal_healths.is_pregnant.how_many_parental_visit_did_you_have,,,,string
is_pregnant,where_do_you_plan_to_deliver_baby,family_planning_and_maternal_healths.is_pregnant.where_do_you_plan_to_deliver_baby,,,,string
is_pregnant,are_you_taking_ferrous_sulfate_with_folic_acid,family_planning_and_maternal_healths.is_pregnant.are_you_taking_ferrous_sulfate_with_folic_acid,,,,boolean
is_pregnant,were_you_vaccinated_with_tetanus_toxoid,family_planning_and_maternal_healths.is_pregnant.were_you_vaccinated_with_tetanus_toxoid,,,,array
is_pregnant,is_this_your_first_pregnancy,family_planning_and_maternal_healths.is_pregnant.is_this_your_first_pregnancy,,,,boolean
is_pregnant,did_you_give_birth_less_than_6_weeks_ago,family_planning_and_maternal_healths.is_pregnant.did_you_give_birth_less_than_6_weeks_ago,,,,boolean
is_pregnant,did_you_experience_the_following,family_planning_and_maternal_healths.is_pregnant.did_you_experience_the_following,,,,array
is_pregnant,do_you_intend_to_practice_family_planning,family_planning_and_maternal_healths.is_pregnant.do_you_intend_to_practice_family_planning,,,,boolean
not_pregnant,have_you_been_pregnant_ever_since,family_planning_and_maternal_healths.not_pregnant.have_you_been_pregnant_ever_since,,,,boolean
not_pregnant,how_long_has_it_been_since_your_last_delivery,family_planning_and_maternal_healths.not_pregnant.how_long_has_it_been_since_your_last_delivery,,,,string
not_pregnant,when_was_your_last_delivery_date,family_planning_and_maternal_healths.not_pregnant.when_was_your_last_delivery_date,,,,string
not_pregnant,what_type_is_the_place_of_delivery,family_planning_and_maternal_healths.not_pregnant.what_type_is_the_place_of_delivery,,,,string
not_pregnant,what_childbirth_support_did_you_received,family_planning_and_maternal_healths.not_pregnant.what_childbirth_support_did_you_received,,,,string
not_pregnant,did_you_experience_any_of_the_following_after_delivery,family_planning_and_maternal_healths.not_pregnant.did_you_experience_any_of_the_following_after_delivery,,,,array
not_pregnant,do_you_have_spouse_right_now,family_planning_and_maternal_healths.not_pregnant.do_you_have_spouse_right_now,,,,boolean
not_pregnant,are_you_both_using_any_family_method,family_planning_and_maternal_healths.not_pregnant.are_you_both_using_any_family_method,,,,boolean
not_pregnant,family_planning_methods_you_are_using,family_planning_and_maternal_healths.not_pregnant.family_planning_methods_you_are_using,,,,array
not_pregnant,are_you_willing_to_use_any_family_planning_method,family_planning_and_maternal_healths.not_pregnant.are_you_willing_to_use_any_family_planning_method,,,,boolean
version,number,,1,,,integer
version,date,,,,,date
