parent_key_name,key_to,key_from,default_value,fields_for_computation,to_compute,type
,awh_id,cb_id,,,,string
,org,organization,,,,string
head,head,symptoms_collection.head.head,,,,array
head,eyes,symptoms_collection.head.eyes,,,,array
head,nose,symptoms_collection.head.nose,,,,array
head,mouth,symptoms_collection.head.mouth,,,,array
head,chin_jaw,symptoms_collection.head.chin_and_jaw,,,,array
head,ears,symptoms_collection.head.ears,,,,array
neck,neck,symptoms_collection.neck.neck,,,,array
neck,throat,symptoms_collection.neck.throat,,,,array
neck,upperback,symptoms_collection.neck.upperback,,,,array
neck,lowerback,symptoms_collection.neck.lowerback,,,,array
neck,shoulder,symptoms_collection.neck.shoulders,,,,array
chest,chest,symptoms_collection.chest.chest,,,,array
chest,lungs,symptoms_collection.chest.lungs_and_breathing,,,,array
arms,upper,symptoms_collection.arms.upper_arm,,,,array
arms,elbow,symptoms_collection.arms.elbow,,,,array
arms,lower,symptoms_collection.arms.lower_arm,,,,array
arms,wrist,symptoms_collection.arms.wrist,,,,array
arms,hand,symptoms_collection.arms.hand_and_palm,,,,array
arms,fingers,symptoms_collection.arms.fingers,,,,array
,abdomen,symptoms_collection.abdomen.abdomen,,,,array
pelvis,hip,symptoms_collection.pelvis.hip,,,,array
pelvis,pelvis,symptoms_collection.pelvis.pelvis,,,,array
pelvis,genitals,symptoms_collection.pelvis.genitals,,,,array
legs,thigh,symptoms_collection.legs.thigh,,,,array
legs,shin,symptoms_collection.legs.shin,,,,array
legs,knee,symptoms_collection.legs.knee,,,,array
legs,foot,symptoms_collection.legs.foot,,,,array
legs,toes,symptoms_collection.legs.toes,,,,array
,skin,symptoms_collection.skin.skin,,,,array
version,number,,1,,,integer
version,date,,,,,date
